"Module Name","Display Name","Driver Type","Link Date"
"gencounter","Microsoft Hyper-V - ¬¡taŸ generac¡","Kernel ",""
"genericusbfn","Obecn  funkŸn¡ tý¡da USB","Kernel ",""
"GPIOClx0101","Microsoft GPIO Class Extension Driver","Kernel ",""
"GpuEnergyDrv","GPU Energy Driver","Kernel ",""
"HdAudAddService","OvladaŸ funkce Microsoft 1.1 UAA pro slu§bu zvuku High Definition Audio","Kernel ",""
"HDAudBus","OvladaŸ sbØrnice Microsoft UAA pro zvuk High Definition Audio","Kernel ",""
"HidBatt","OvladaŸ baterie zdroje UPS standardu HID","Kernel ",""
"HidBth","Miniport Microsoft Bluetooth HID","Kernel ",""
"hidi2c","OvladaŸ miniportu Microsoft I2C HID","Kernel ",""
"hidinterrupt","SpoleŸnì ovladaŸ pro tlaŸ¡tka standardu HID implementovan  s pýeruçen¡mi","Kernel ",""
"HidIr","OvladaŸ infraŸerven‚ho portu HID Microsoft","Kernel ",""
"hidspi","OvladaŸ miniportu Microsoft SPI HID","Kernel ",""
"HidUsb","OvladaŸ tý¡dy standardu HID Microsoft","Kernel ",""
"hnswfpdriver","OvladaŸ HNS WFP","Kernel ",""
"HpSAMD","HpSAMD","Kernel ","26.03.2013 22:36:54"
"HTTP","Slu§ba protokolu HTTP","Kernel ",""
"hvcrash","hvcrash","Kernel ",""
"hvservice","Hypervisor/Virtual Machine Support Driver","Kernel ",""
"hvsocketcontrol","hvsocketcontrol","Kernel ",""
"HwNClx0101","Microsoft Hardware Notifications Class Extension Driver","Kernel ",""
"hwpolicy","Hardware Policy Driver","Kernel ",""
"hyperkbd","hyperkbd","Kernel ",""
"HyperVideo","HyperVideo","Kernel ",""
"i8042prt","OvladaŸ port… kl vesnice i8042 a myçi PS/2","Kernel ",""
"iagpio","OvladaŸ ýadiŸe Intel(R) Serial IO GPIO","Kernel ","23.07.2018 11:04:46"
"iai2c","Hostitelskì ýadiŸ Intel(R) Serial IO I2C","Kernel ","23.07.2018 11:04:39"
"iaLPSS2i_GPIO2","OvladaŸ ýadiŸe Intel(R) Serial IO GPIO verze 2","Kernel ","19.04.2018 9:53:24"
"iaLPSS2i_GPIO2_BXT_P","OvladaŸ ýadiŸe Intel(R) Serial IO GPIO verze 2","Kernel ","17.04.2018 11:25:15"
"iaLPSS2i_GPIO2_CNL","OvladaŸ ýadiŸe Intel(R) Serial IO GPIO verze 2","Kernel ","17.04.2018 9:07:03"
"iaLPSS2i_GPIO2_GLK","OvladaŸ ýadiŸe Intel(R) Serial IO GPIO verze 2","Kernel ","16.05.2018 7:46:36"
"iaLPSS2i_I2C","OvladaŸ ýadiŸe Intel(R) Serial IO I2C v2","Kernel ","19.04.2018 9:52:58"
"iaLPSS2i_I2C_BXT_P","OvladaŸ ýadiŸe Intel(R) Serial IO I2C v2","Kernel ","17.04.2018 11:24:40"
"iaLPSS2i_I2C_CNL","OvladaŸ ýadiŸe Intel(R) Serial IO I2C v2","Kernel ","15.07.2019 7:12:12"
"iaLPSS2i_I2C_GLK","OvladaŸ ýadiŸe Intel(R) Serial IO I2C v2","Kernel ","16.05.2018 7:46:02"
"iaLPSSi_GPIO","Intel(R) Serial IO GPIO Controller Driver","Kernel ","02.02.2015 10:00:09"
"iaLPSSi_I2C","OvladaŸ ýadiŸe Intel(R) Serial IO I2C","Kernel ","24.02.2015 16:52:07"
"iaStorAVC","Intel Chipset SATA RAID Controller","Kernel ","05.09.2019 14:07:32"
"iaStorV","üadiŸ Intel diskov‚ho pole RAID - Windows 7","Kernel ","11.04.2011 20:48:16"
"ibbus","Mellanox InfiniBand Bus/AL (ovladaŸ filtru)","Kernel ","19.06.2019 15:20:09"
"ICCWDT","Intel(R) Watchdog Timer Driver (Intel(R) WDT)","Kernel ","19.09.2017 13:15:40"
"IndirectKmd","OvladaŸ Indirect Displays v re§imu j dra","Kernel ",""
"intelide","intelide","Kernel ",""
"intelpep","OvladaŸ modulu Intel(R) Power Engine Plug-in","Kernel ",""
"intelpmax","Intel(R) Dynamic Device Peak Power Manager Driver","Kernel ",""
"intelppm","OvladaŸ procesoru Intel","Kernel ",""
"iorate","OvladaŸ filtru rychlosti vstupnØ-vìstupn¡ch operac¡ disku","Kernel ",""
"IpFilterDriver","IP Traffic Filter Driver","Kernel ",""
"IPMIDRV","IPMIDRV","Kernel ",""
"IPNAT","IP Network Address Translator","Kernel ",""
"IPT","IPT","Kernel ",""
"isapnp","isapnp","Kernel ",""
"iScsiPrt","OvladaŸ iScsiPort","Kernel ",""
"ItSas35i","ItSas35i","Kernel ","20.06.2019 9:35:34"
"kbdclass","Keyboard Class Driver","Kernel ",""
"kbdhid","OvladaŸ kl vesnice standardu HID","Kernel ",""
"kbldfltr","kbldfltr","Kernel ",""
"kdnic","Miniport ladØn¡ j dra spoleŸnosti Microsoft (NDIS 6.20)","Kernel ",""
"KSecDD","KSecDD","Kernel ",""
"KSecPkg","KSecPkg","Kernel ",""
"ksthunk","Kernel Streaming Thunks","Kernel ",""
"l2bridge","OvladaŸ pýemostØn¡","Kernel ",""
"lltdio","VstupnØ-vìstupn¡ ovladaŸ mapovaŸe zjiçœov n¡ topologie linkov‚ vrstvy","Kernel ",""
"LSI_SAS","LSI_SAS","Kernel ","25.03.2015 20:36:48"
"LSI_SAS2i","LSI_SAS2i","Kernel ","02.08.2017 15:29:59"
